timestamp	phase	total_games	total_samples	loss	mae	vs_easy_w	vs_easy_l	vs_easy_d	vs_easy_pct	vs_medium_w	vs_medium_l	vs_medium_d	vs_medium_pct	vs_expert_w	vs_expert_l	vs_expert_d	vs_expert_pct
2026-03-07T23:55:35.138Z	1b_batch1	300	11400	0.016608	0.028950	8	1	1	80.0	0	10	0	0.0	0	10	0	0.0
2026-03-07T23:57:59.127Z	1b_batch1	300	11400	0.021231	0.035220	8	0	2	80.0	0	10	0	0.0	0	10	0	0.0
2026-03-08T00:02:03.773Z	1b_batch2	600	22800	0.017122	0.028741	6	0	4	60.0	0	10	0	0.0	0	10	0	0.0
2026-03-08T00:06:06.581Z	1b_batch2	600	22800	0.022427	0.031582	7	1	2	70.0	0	10	0	0.0	0	10	0	0.0
2026-03-08T00:09:52.184Z	1b_batch3	900	34200	0.033208	0.042054	5	0	5	50.0	0	10	0	0.0	0	10	0	0.0
2026-03-08T00:11:13.709Z	1b_batch3	900	34200	0.021790	0.031649	7	1	2	70.0	0	10	0	0.0	0	10	0	0.0
2026-03-08T00:17:30.774Z	1b_batch4	1200	45600	0.035043	0.043596	6	2	2	60.0	0	10	0	0.0	0	10	0	0.0
2026-03-08T00:17:34.855Z	1b_batch4	1200	45600	0.036417	0.040553	6	1	3	60.0	0	10	0	0.0	0	10	0	0.0
2026-03-08T00:26:03.912Z	1b_batch5	1500	57000	0.018780	0.022494	9	1	0	90.0	0	10	0	0.0	0	10	0	0.0
2026-03-08T00:26:16.332Z	1b_batch5	1500	57000	0.021623	0.025761	6	1	3	60.0	0	10	0	0.0	0	10	0	0.0
2026-03-08T00:34:08.876Z	1b_batch6	1800	68400	0.039166	0.047425	6	1	3	60.0	0	10	0	0.0	0	10	0	0.0
2026-03-08T00:35:36.900Z	1b_batch6	1800	68400	0.024435	0.028810	9	0	1	90.0	0	10	0	0.0	0	10	0	0.0
2026-03-08T00:40:57.241Z	1b_batch7	2100	79800	0.028772	0.032513	6	0	4	60.0	0	10	0	0.0	0	10	0	0.0
2026-03-08T00:42:13.281Z	1b_batch7	2100	79800	0.031601	0.036418	7	0	3	70.0	0	10	0	0.0	0	10	0	0.0
2026-03-08T00:48:17.957Z	1b_batch8	2400	91200	0.029119	0.032764	8	0	2	80.0	0	10	0	0.0	0	10	0	0.0
2026-03-08T00:48:57.986Z	1b_batch8	2400	91200	0.014277	0.021499	7	0	3	70.0	0	10	0	0.0	0	10	0	0.0
2026-03-08T00:57:00.191Z	1b_batch9	2700	102600	0.015172	0.021128	8	0	2	80.0	0	10	0	0.0	0	10	0	0.0
2026-03-08T00:57:26.545Z	1b_batch9	2700	102600	0.020551	0.026684	5	0	5	50.0	0	10	0	0.0	0	10	0	0.0
2026-03-08T01:04:25.327Z	1b_batch10	3000	114000	0.023986	0.030811	8	0	2	80.0	0	10	0	0.0	0	10	0	0.0
2026-03-08T01:04:55.693Z	1b_batch10	3000	114000	0.030549	0.047949	6	0	4	60.0	0	10	0	0.0	5	5	0	50.0
